path,tag,name,keyword,VR,private,files_present,presence_percent,total_occurrences,unique_values,uniqueness_ratio,top_values
"FileMeta/(0002,0003)","(0002,0003)",Media Storage SOP Instance UID,MediaStorageSOPInstanceUID,UI,False,499,100.0,499,499,1.0,1.2.643.5.1.13.13.12.2.77.8252.14031015091008031013040205110915 [1] | 1.2.643.5.1.13.13.12.2.77.8252.03030811151201151502050615010000 [1] | 1.2.643.5.1.13.13.12.2.77.8252.06000812101106141213041404150112 [1] | 1.2.643.5.1.13.13.12.2.77.8252.10130209021503050013090302090705 [1] | 1.2.643.5.1.13.13.12.2.77.8252.13011105091309080008130511041109 [1]
"Dataset/(0008,0018)","(0008,0018)",SOP Instance UID,SOPInstanceUID,UI,False,499,100.0,499,499,1.0,1.2.643.5.1.13.13.12.2.77.8252.14031015091008031013040205110915 [1] | 1.2.643.5.1.13.13.12.2.77.8252.03030811151201151502050615010000 [1] | 1.2.643.5.1.13.13.12.2.77.8252.06000812101106141213041404150112 [1] | 1.2.643.5.1.13.13.12.2.77.8252.10130209021503050013090302090705 [1] | 1.2.643.5.1.13.13.12.2.77.8252.13011105091309080008130511041109 [1]
"Dataset/(0040,030E)/ITEM/(0018,1150)","(0018,1150)",Exposure Time,ExposureTime,IS,False,448,89.77955911823648,1021,335,0.7477678571428571,15326 [20] | 37624 [20] | 7766 [20] | 29687 [20] | 16504 [19]
"Dataset/(0020,000E)","(0020,000E)",Series Instance UID,SeriesInstanceUID,UI,False,499,100.0,499,101,0.20240480961923848,1.2.643.5.1.13.13.12.2.77.8252.00061404140502100104070113110714 [18] | 1.2.643.5.1.13.13.12.2.77.8252.02151214090809021309091201080709 [13] | 1.2.643.5.1.13.13.12.2.77.8252.11020308140308080111011302120105 [13] | 1.2.643.5.1.13.13.12.2.77.8252.14040700071514111407031412020703 [12] | 1.2.643.5.1.13.13.12.2.77.8252.14131202151512000515141002040115 [12]
"Dataset/(0020,000D)","(0020,000D)",Study Instance UID,StudyInstanceUID,UI,False,499,100.0,499,100,0.20040080160320642,1.2.643.5.1.13.13.12.2.77.8252.10030514041010111403040803061004 [29] | 1.2.643.5.1.13.13.12.2.77.8252.01011312130808040910091102031113 [13] | 1.2.643.5.1.13.13.12.2.77.8252.04121102011402150303110508111305 [13] | 1.2.643.5.1.13.13.12.2.77.8252.07100203071411091300120005090303 [12] | 1.2.643.5.1.13.13.12.2.77.8252.09131109110213080611001502040813 [12]
"Dataset/(0040,0303)","(0040,0303)",Exposed Area,ExposedArea,US,False,499,100.0,499,74,0.14829659318637275,0\0 [51] | 180\193 [46] | 180\192 [39] | 180\191 [21] | 180\177 [19]
"Dataset/(0028,0010)","(0028,0010)",Rows,Rows,US,False,499,100.0,499,32,0.06412825651302605,289 [52] | 261 [50] | 291 [49] | 235 [43] | 318 [41]
"Dataset/(0020,0013)","(0020,0013)",Instance Number,InstanceNumber,IS,False,499,100.0,499,27,0.05410821643286573,1 [100] | 3 [74] | 5 [54] | 4 [42] | 6 [38]
"Dataset/(0040,8302)","(0040,8302)",Entrance Dose in mGy,EntranceDoseInmGy,DS,False,499,100.0,499,21,0.04208416833667335,0.037000 [143] | 0.074000 [102] | 0.000000 [51] | 0.111000 [47] | 0.148000 [42]
"Dataset/(0040,0301)","(0040,0301)",Total Number of Exposures,TotalNumberOfExposures,US,False,499,100.0,499,7,0.014028056112224449,1 [215] | 2 [143] | 4 [58] | 3 [50] | 6 [18]
"Dataset/(0040,030E)","(0040,030E)",Exposure Dose Sequence,ExposureDoseSequence,SQ,False,448,89.77955911823648,448,7,0.015625,<Sequence items=1> [164] | <Sequence items=2> [143] | <Sequence items=4> [58] | <Sequence items=3> [50] | <Sequence items=6> [18]
"Dataset/(0020,0011)","(0020,0011)",Series Number,SeriesNumber,IS,False,499,100.0,499,3,0.006012024048096192,2 [438] | 3 [50] | 6 [11]
"Dataset/(0028,0011)","(0028,0011)",Columns,Columns,US,False,499,100.0,499,3,0.006012024048096192,280 [331] | 300 [166] | 248 [2]
"Dataset/(0008,0005)","(0008,0005)",Specific Character Set,SpecificCharacterSet,CS,False,499,100.0,499,2,0.004008016032064128,ISO_IR 144 [481] | ISO_IR 100 [18]
