path,tag,name,keyword,VR,private,value,count
"FileMeta/(0002,0000)","(0002,0000)",File Meta Information Group Length,FileMetaInformationGroupLength,UL,False,206,499
"FileMeta/(0002,0001)","(0002,0001)",File Meta Information Version,FileMetaInformationVersion,OB,False,<bytes len=2 sha1=3f29546453678b855931c174a97d6c0894b8f546>,499
"FileMeta/(0002,0002)","(0002,0002)",Media Storage SOP Class UID,MediaStorageSOPClassUID,UI,False,1.2.840.10008.5.1.4.1.1.1,499
"FileMeta/(0002,0003)","(0002,0003)",Media Storage SOP Instance UID,MediaStorageSOPInstanceUID,UI,False,1.2.643.5.1.13.13.12.2.77.8252.14031015091008031013040205110915,1
"FileMeta/(0002,0003)","(0002,0003)",Media Storage SOP Instance UID,MediaStorageSOPInstanceUID,UI,False,1.2.643.5.1.13.13.12.2.77.8252.03030811151201151502050615010000,1
"FileMeta/(0002,0003)","(0002,0003)",Media Storage SOP Instance UID,MediaStorageSOPInstanceUID,UI,False,1.2.643.5.1.13.13.12.2.77.8252.06000812101106141213041404150112,1
"FileMeta/(0002,0003)","(0002,0003)",Media Storage SOP Instance UID,MediaStorageSOPInstanceUID,UI,False,1.2.643.5.1.13.13.12.2.77.8252.10130209021503050013090302090705,1
"FileMeta/(0002,0003)","(0002,0003)",Media Storage SOP Instance UID,MediaStorageSOPInstanceUID,UI,False,1.2.643.5.1.13.13.12.2.77.8252.13011105091309080008130511041109,1
"FileMeta/(0002,0003)","(0002,0003)",Media Storage SOP Instance UID,MediaStorageSOPInstanceUID,UI,False,1.2.643.5.1.13.13.12.2.77.8252.04131215000514000414051510091103,1
"FileMeta/(0002,0003)","(0002,0003)",Media Storage SOP Instance UID,MediaStorageSOPInstanceUID,UI,False,1.2.643.5.1.13.13.12.2.77.8252.06140010030611061314081200121305,1
"FileMeta/(0002,0003)","(0002,0003)",Media Storage SOP Instance UID,MediaStorageSOPInstanceUID,UI,False,1.2.643.5.1.13.13.12.2.77.8252.09050515110402090102050206010406,1
"FileMeta/(0002,0003)","(0002,0003)",Media Storage SOP Instance UID,MediaStorageSOPInstanceUID,UI,False,1.2.643.5.1.13.13.12.2.77.8252.09040712010609120601031410140610,1
